Category_Name,Depth,Level1,Level2,Level3,Level4,서울,전남광주,부산,대구,인천,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,합계
화물밴형 1톤 이하,4,화물자동차 합계,화물 밴형 계,,화물밴형 1톤 이하,46203,21257,18615,19299,25600,10058,6542,1256,86066,10543,10962,12882,11809,19541,21173,12675,334481
화물밴형 5톤 미만,4,화물자동차 합계,화물 밴형 계,,화물밴형 5톤 미만,456,474,227,213,274,157,83,32,1376,329,269,397,294,425,357,106,5469
화물밴형 5톤 이상,4,화물자동차 합계,화물 밴형 계,,화물밴형 5톤 이상,6,11,7,6,3,5,4,1,29,3,5,3,12,16,5,2,118
화물특수용도형 계,2,화물자동차 합계,화물특수용도형 계,,,61261,59552,42372,31447,46571,18101,14850,3502,181739,27672,28999,40271,30775,48502,46560,12347,694521
화물특수용도형(청소자),3,화물자동차 합계,화물특수용도형 계,화물특수용도형(청소자),,1571,2155,555,559,529,285,318,77,2762,810,598,1023,910,1475,1099,295,15021
화물특수용도형(노면청소차),3,화물자동차 합계,화물특수용도형 계,화물특수용도형(노면청소차),,296,143,121,123,199,38,41,11,460,131,91,90,134,132,131,41,2182
화물특수용도형(살수차),3,화물자동차 합계,화물특수용도형 계,화물특수용도형(살수차),,196,170,28,40,68,10,20,7,214,68,74,75,80,134,72,35,1291
화물특수용도형(소방차),3,화물자동차 합계,화물특수용도형 계,화물특수용도형(소방차),,259,532,175,190,216,98,181,40,747,349,261,393,321,446,451,87,4746
"화물특수용도형(냉장,냉동차)",3,화물자동차 합계,화물특수용도형 계,"화물특수용도형(냉장,냉동차)",,15344,10182,7778,7210,7364,3862,1904,576,39794,5040,4844,5907,5637,7387,8085,3171,134085
"화물특수용도형(곡물,사료운반)",3,화물자동차 합계,화물특수용도형 계,"화물특수용도형(곡물,사료운반)",,113,326,61,87,394,61,21,9,424,63,122,197,402,305,195,57,2837
유조차 소계,3,화물자동차 합계,화물특수용도형 계,유조차 소계,,468,1142,373,379,816,164,326,39,2334,714,668,839,682,1286,1225,177,11632
유조차(항공유),4,화물자동차 합계,화물특수용도형 계,유조차 소계,유조차(항공유),36,13,11,14,22,8,12,0,38,14,24,15,8,11,12,9,247
유조차(휘발유),4,화물자동차 합계,화물특수용도형 계,유조차 소계,유조차(휘발유),8,7,2,4,18,1,2,0,17,1,4,9,9,10,8,1,101
"유조차(등유, 경유)",4,화물자동차 합계,화물특수용도형 계,유조차 소계,"유조차(등유, 경유)",381,1012,320,327,685,138,280,33,2039,645,560,719,580,1163,1086,144,10112
유조차(방카C유),4,화물자동차 합계,화물특수용도형 계,유조차 소계,유조차(방카C유),0,5,2,1,5,0,3,0,12,1,7,3,3,4,9,0,55
유조차(기타),4,화물자동차 합계,화물특수용도형 계,유조차 소계,유조차(기타),43,105,38,33,86,17,29,6,228,53,73,93,82,98,110,23,1117
탱크로리 소계,3,화물자동차 합계,화물특수용도형 계,탱크로리 소계,,684,1012,296,280,686,121,358,118,2190,619,578,908,795,1028,934,312,10919
"탱크로리(식수, 음료)",4,화물자동차 합계,화물특수용도형 계,탱크로리 소계,"탱크로리(식수, 음료)",11,25,2,7,13,8,3,13,82,16,16,26,26,26,29,4,307
탱크로리(압축가스),4,화물자동차 합계,화물특수용도형 계,탱크로리 소계,탱크로리(압축가스),27,81,21,33,64,12,20,5,261,69,70,98,62,84,73,58,1038
탱크로리(화공약품),4,화물자동차 합계,화물특수용도형 계,탱크로리 소계,탱크로리(화공약품),23,48,11,13,68,1,35,4,79,23,6,27,34,29,27,1,429
탱크로리(기타),4,화물자동차 합계,화물특수용도형 계,탱크로리 소계,탱크로리(기타),623,858,262,227,541,100,300,96,1768,511,486,757,673,889,805,249,9145
피견인차 소계,3,화물자동차 합계,화물특수용도형 계,피견인차 소계,,5208,12921,15221,3587,12879,2857,5140,752,23756,3808,6164,8692,5036,9612,8568,699,124900
피견인차(적재함형),4,화물자동차 합계,화물특수용도형 계,피견인차 소계,피견인차(적재함형),988,1320,549,803,969,669,377,287,4562,824,968,1237,658,1228,915,105,16459
피견인차(저상형),4,화물자동차 합계,화물특수용도형 계,피견인차 소계,피견인차(저상형),192,478,509,159,378,101,229,15,742,194,199,375,255,435,633,43,4937
피견인차(평판형),4,화물자동차 합계,화물특수용도형 계,피견인차 소계,피견인차(평판형),368,1724,1247,360,949,207,690,28,1524,282,437,939,471,1985,1230,77,12518
피견인차(콘테이너샤시),4,화물자동차 합계,화물특수용도형 계,피견인차 소계,피견인차(콘테이너샤시),462,4035,10372,383,6882,419,1955,67,5121,168,1287,1438,1094,1704,2494,24,37905
피견인차(기타),4,화물자동차 합계,화물특수용도형 계,피견인차 소계,피견인차(기타),3198,5364,2544,1882,3701,1461,1889,355,11807,2340,3273,4703,2558,4260,3296,450,53081
화물특수용도형(기타),3,화물자동차 합계,화물특수용도형 계,화물특수용도형(기타),,37122,30969,17764,18992,23420,10605,6541,1873,109058,16070,15599,22147,16778,26697,25800,7473,386908
특수자동차 합계,1,특수자동차 합계,,,,11750,14171,12676,5695,9650,4039,4048,1067,32873,5864,6964,8662,6518,11440,11746,2249,149412
구난차 계,2,특수자동차 합계,구난차 계,,,571,876,393,273,430,224,198,46,2370,534,490,704,524,1165,871,225,9894
구난차 5톤 이하,4,특수자동차 합계,구난차 계,,구난차 5톤 이하,550,822,371,254,399,211,185,43,2142,487,446,641,495,1073,815,205,9139
구난차 10톤 미만,4,특수자동차 합계,구난차 계,,구난차 10톤 미만,16,20,10,8,7,4,5,3,119,19,18,18,10,51,16,10,334
구난차 10톤 이상,4,특수자동차 합계,구난차 계,,구난차 10톤 이상,5,34,12,11,24,9,8,0,109,28,26,45,19,41,40,10,421
견인차 계,2,특수자동차 합계,견인차 계,,,1348,5298,8306,848,3991,656,1641,121,4830,642,1722,1861,1521,3365,4016,122,40288
견인차 5톤 이하,4,특수자동차 합계,견인차 계,,견인차 5톤 이하,23,36,12,4,11,8,2,1,72,15,13,17,10,30,23,0,277
견인차 10톤 미만,4,특수자동차 합계,견인차 계,,견인차 10톤 미만,40,48,55,1,26,2,13,0,103,1,1,2,17,7,24,1,341
견인차 10톤 이상,4,특수자동차 합계,견인차 계,,견인차 10톤 이상,1285,5214,8239,843,3954,646,1626,120,4655,626,1708,1842,1494,3328,3969,121,39670
특수용도형 계,2,특수자동차 합계,특수용도형 계,,,9831,7997,3977,4574,5229,3159,2209,900,25673,4688,4752,6097,4473,6910,6859,1902,99230
특수용도형(고소작업차),3,특수자동차 합계,특수용도형 계,특수용도형(고소작업차),,2527,2787,1369,1330,1528,949,686,149,7857,1643,1571,1899,1562,2218,2372,1139,31586
특수용도형(고가사다리소방차),3,특수자동차 합계,특수용도형 계,특수용도형(고가사다리소방차),,146,88,33,52,53,30,21,6,266,66,44,52,51,67,73,22,1070
특수용도형(오가크레인),3,특수자동차 합계,특수용도형 계,특수용도형(오가크레인),,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
특수용도형(피견인형),3,특수자동차 합계,특수용도형 계,특수용도형(피견인형),,949,941,452,716,578,529,250,241,4060,610,803,1105,561,1113,835,130,13873
특수용도형(기타),3,특수자동차 합계,특수용도형 계,특수용도형(기타),,6209,4180,2123,2476,3070,1651,1252,504,13490,2369,2333,3041,2299,3512,3579,611,52699
